step,season,prev_temp,cultivation_factor
step1_user1_no_sow,4981,749000000,1000000
step1_user1_sow_all,4982,749500000,1409663
step1_user1_sow_all,4983,748500000,1819326
step1_user1_sow_all,4984,747500000,2228989
step1_user1_sow_all,4985,746500000,2638652
step1_user1_sow_all,4986,745500000,3048315
step1_user1_no_sow,4987,744500000,3048315
step1_user1_sow_all,4988,745000000,3457978
step1_user1_no_sow,4989,744000000,3457978
step1_user1_no_sow,4990,744500000,3457978
step1_user1_sow_all,4991,745000000,3867641
step1_user1_no_sow,4992,744000000,3867641
step1_user1_no_sow,4993,744500000,3867641
step1_user1_sow_all,4994,745000000,4277304
step1_user1_no_sow,4995,744000000,4277304
step3_user2_some_sow,4996,744500000,1836274
step3_user2_some_sow,4997,743500000,2245937
step3_user2_some_sow,4998,742500000,2655600
step3_user2_some_sow,4999,741500000,3065263
step3_user2_some_sow,5000,740500000,3065263
step3_user2_some_sow,5001,740500000,3065263
step3_user2_some_sow,5002,740500000,3065263
step3_user2_some_sow,5003,740500000,3065263
step3_user2_some_sow,5004,740500000,3065263
step3_user2_some_sow,5005,740500000,3065263
step3_user2_some_sow,5006,740500000,3065263
step3_user2_some_sow,5007,740500000,3065263
step3_user2_some_sow,5008,740500000,3065263
step3_user2_some_sow,5009,740500000,3065263
step3_user2_some_sow,5010,740500000,3065263
